,competition,group_name,year,team_manual,_merge
484,ChinaOpens,HelliBASH2D,2008,,both
525,ChinaOpens,HfutEngine,2008,,left_only
475,ChinaOpens,Strive,2008,,both
68,ChinaOpens,WrightEagle,2008,,both
443,ChinaOpens,ZcvcTF,2008,,both
349,JapanOpens,anct2008,2008,,both
284,JapanOpens,BKB_jin_AI,2008,,left_only
491,JapanOpens,FC-PESCA,2008,,both
175,JapanOpens,FC-PESCA-jopen08-linux,2008,,both
194,JapanOpens,Fifty-Storms,2008,,both
272,JapanOpens,Fifty-Storms-jopen08-linux,2008,,both
408,JapanOpens,HELIOS-jopen08-linux,2008,helios2008,both
455,JapanOpens,HELIOZ,2008,,both
382,JapanOpens,KU_BOST,2008,,both
367,JapanOpens,KU_BOST-jopen08-linux,2008,,both
399,JapanOpens,Nopporoes8,2008,nopporoes08,both
512,JapanOpens,Nopporoes8-jopen08-linux,2008,nopporoes08,both
513,JapanOpens,Nopporoes8-jopen08-linux,2008,nopporoes08,both
127,JapanOpens,Obake_Japan_Open,2008,,left_only
369,JapanOpens,Obake_OPU,2008,,both
404,JapanOpens,Okarobo-jopen08-linux,2008,,both
309,JapanOpens,OPU_hana_2D_jo08,2008,,both
310,JapanOpens,OPU_hana_2D_jo08,2008,,both
498,JapanOpens,puppets-JapanOpen2008,2008,,both
324,JapanOpens,puppets-jopen08-linux,2008,,both
247,JapanOpens,RaiC08Bin_JO08,2008,,both
285,JapanOpens,Re_KUMA,2008,,both
38,JapanOpens,TDU_ThinkingAnts-jopen08-linux,2008,tduthinkingants,both
197,JapanOpens,TsubameGaeshi-jopen08-linux,2008,,both
416,JapanOpens,YowAI,2008,,both
1,WorldCup,AmoyNQ_rc08_release,2008,,both
294,WorldCup,ATH_rc08_release,2008,,both
477,WorldCup,Brainstormers_rc08_release,2008,brainstormers08,both
232,WorldCup,Dainamite_rc08_release,2008,,both
234,WorldCup,Helios_rc08_release,2008,helios2008,both
363,WorldCup,HFut_rc08_release,2008,hfutengine2d,both
262,WorldCup,NCL08_rc08_release,2008,,both
290,WorldCup,OPU_hana_2D_rc08_release,2008,,both
523,WorldCup,OxBlue_rc08_release,2008,,left_only
405,WorldCup,Oxsy_rc08_release,2008,,both
143,WorldCup,Ri-one_rc08_release,2008,,both
373,WorldCup,WrightEagle_rc08_release,2008,we2008,both
398,AUTCUP,apadis_autcup_64,2009,,left_only
379,AUTCUP,bluegene_autcup_64,2009,,left_only
94,AUTCUP,eskilas_autcup,2009,,left_only
193,AUTCUP,fabulous_autcup,2009,,left_only
214,AUTCUP,farenheit_autcup,2009,,left_only
71,AUTCUP,immortal_autcup_64,2009,,left_only
253,AUTCUP,irantak_autcup_64,2009,,left_only
69,AUTCUP,maha_autcup_64,2009,,left_only
487,AUTCUP,paranoid_autcup,2009,,left_only
333,AUTCUP,robokick_autcup_64,2009,,left_only
131,AUTCUP,robotoos_autcup_64,2009,,left_only
45,AUTCUP,sourena_autcup_64,2009,,left_only
75,AUTCUP,unique2d_autcup_64,2009,,left_only
348,AUTCUP,united_autcup,2009,,left_only
265,AUTCUP,xifoid_autcup,2009,,left_only
57,JapanOpens,BIG_KUBO_BEARS,2009,,both
412,JapanOpens,Emis-L,2009,,left_only
454,JapanOpens,Fifty-Storms_RCJO09,2009,storms09,left_only
261,JapanOpens,HELIOS-jopen09-linux,2009,helios2009,left_only
359,JapanOpens,Hillstone_United_JapanOpen2009,2009,,both
73,JapanOpens,opuCI_2D_JapanOpen2009,2009,,both
424,JapanOpens,RaiC09RCJO,2009,,both
91,JapanOpens,Ri-one_JapanOpen2009,2009,,both
451,JapanOpens,tsubamegaeshi-fcpita-all,2009,,both
28,PRIMA,BKB_PRIMA2009,2009,,left_only
205,PRIMA,Fifty-Storms,2009,,both
162,PRIMA,hillstone_u,2009,,both
221,PRIMA,opuCI_2D_PRIMA2009,2009,,both
264,PRIMA,Ri-one_PRIMA09,2009,,both
521,PRIMA,TDUThinkingAnts2009,2009,,both
150,WorldCup,bahia2d-rc09,2009,,both
345,WorldCup,brainstormers-rc09,2009,brainstormers09,left_only
