,analizo_acc_mean,analizo_accm_mean,analizo_amloc_mean,analizo_anpm_mean,analizo_cbo_mean,analizo_dit_mean,analizo_lcom4_mean,analizo_mmloc_mean,analizo_noa_mean,analizo_noc_mean,analizo_nom_mean,analizo_npa_mean,analizo_npm_mean,analizo_rfc_mean,analizo_sc_mean,folder,category,agent_type,type
352,0.948717948718,2.3626978752000003,13.9514002725,1.17675247387,0.820512820513,0.769230769231,2.66666666667,52.2820512821,6.17948717949,0.153846153846,7.05128205128,0.5128205128209999,4.17948717949,22.9743589744,3.33333333333,0,Education,non-agent,git-hub
354,0.8104575163400001,1.7456227904,15.8314283736,1.5837556408000002,0.8300653594769999,0.581699346405,2.6862745098,29.6862745098,3.75163398693,0.196078431373,5.83660130719,1.80392156863,4.61437908497,15.4183006536,3.08496732026,0,Education,non-agent,git-hub
356,1.6,2.38916666667,33.865833333299996,0.8091666666670001,2.2,0.3,1.8,69.4,4.5,0.0,4.3,0.0,1.9,22.2,4.4,0,Education,non-agent,git-hub
357,2.40909090909,1.3439322882499998,6.37815027985,0.711785331672,2.38636363636,0.5,1.75,12.090909090899999,2.63636363636,0.318181818182,5.52272727273,1.3181818181799998,4.29545454545,18.4318181818,4.0,0,Education,non-agent,git-hub
358,2.158,1.53539838977,7.432804002260001,1.06894575645,1.652,0.977,4.059,16.397000000000002,4.476,0.4,6.72,1.737,5.506,20.765,10.58,0,Education,non-agent,git-hub
359,3.4,1.70922813459,10.2782976091,1.06392361973,3.1459459459500003,1.5243243243200002,4.070270270269998,20.2648648649,2.92972972973,0.6,8.95675675676,0.06486486486490001,7.140540540539999,33.3459459459,19.3513513514,0,Education,non-agent,git-hub
361,2.29420731707,1.64158543817,8.06997158886,0.834294238659,1.91768292683,1.15243902439,2.81859756098,19.493902439,3.0487804878,0.493902439024,6.236280487799998,0.442073170732,4.97865853659,20.6676829268,5.62042682927,0,Education,non-agent,git-hub
363,0.341463414634,3.1533655369,31.5363460388,0.7802669552670001,0.365853658537,0.19512195122,1.5121951219499998,55.3414634146,3.7560975609800007,0.0243902439024,3.53658536585,0.390243902439,2.75609756098,12.707317073199999,0.682926829268,0,Education,non-agent,git-hub
364,0.916666666667,1.31513533653,6.87245133715,0.8744165864360001,1.16666666667,0.507575757576,3.97727272727,14.9318181818,4.5,0.17424242424199998,6.6363636363600005,1.95454545455,5.840909090909999,24.303030303000003,7.143939393939999,0,Education,non-agent,git-hub
365,2.11111111111,3.44756131592,24.1947343978,1.0920874402399998,4.55555555556,0.0,3.33333333333,64.55555555560001,10.1111111111,0.0,13.1111111111,8.22222222222,12.777777777799999,87.4444444444,23.1111111111,0,Games,non-agent,git-hub
368,2.50704225352,1.64694192885,8.65818918152,1.2189313868,2.88732394366,0.746478873239,4.02816901408,23.985915493,1.78873239437,0.169014084507,10.8169014085,0.112676056338,9.07042253521,31.014084507,12.0845070423,0,Games,non-agent,git-hub
369,1.65789473684,1.70852038803,10.5701875239,1.11519381765,1.52631578947,0.763157894737,2.44736842105,24.868421052600002,3.81578947368,0.263157894737,6.3684210526300005,1.15789473684,5.21052631579,20.894736842100002,3.63157894737,0,Games,non-agent,git-hub
370,2.0,1.68321188443,8.12151337289,0.603549382173,1.85294117647,0.691176470588,2.7794117647099994,22.735294117600002,3.2794117647099994,0.426470588235,7.529411764710001,0.323529411765,6.48529411765,28.0588235294,5.07352941176,0,Games,non-agent,git-hub
371,0.770833333333,1.66443001443,10.157480309,0.867256643819,0.6875,0.770833333333,3.16666666667,20.4166666667,2.14583333333,0.22916666666700006,4.89583333333,0.375,4.04166666667,11.083333333299999,1.60416666667,0,Games,non-agent,git-hub
372,2.88709677419,1.6494932808899998,7.640254961860001,0.7694269656139999,2.41935483871,1.3064516129,2.04838709677,15.3225806452,3.87096774194,0.548387096774,5.2258064516100005,0.903225806452,4.08064516129,19.8870967742,5.62903225806,0,Games,non-agent,git-hub
376,0.7741935483869999,1.951970752,13.7867165019,1.14672110345,0.752688172043,0.709677419355,1.94623655914,49.76344086020001,6.44086021505,0.0215053763441,6.49462365591,0.752688172043,5.1935483871,27.838709677399997,1.7526881720400005,0,Games,non-agent,git-hub
377,1.11111111111,1.6408279852599998,10.7883774949,0.91606774338,1.0462962963,0.5277777777780001,2.64351851852,30.7361111111,4.05555555556,0.222222222222,6.2962962963,0.7824074074070001,5.004629629630001,19.055555555599998,3.504629629630001,0,Games,non-agent,git-hub
378,1.57232704403,1.37009490824,7.033876043160001,0.752904875976,1.5031446540900002,0.8490566037739999,3.0188679245300003,12.0880503145,7.1572327044,0.503144654088,4.92452830189,4.327044025159998,4.1320754717,13.0566037736,5.09433962264,0,Games,non-agent,git-hub
379,1.01369863014,2.25884411591,12.6558883778,1.16014133867,0.931506849315,0.602739726027,2.56164383562,23.506849315100002,1.98630136986,0.0821917808219,4.493150684930001,0.575342465753,3.64383561644,10.397260274,2.04109589041,0,Games,non-agent,git-hub
380,1.96226415094,1.41116224893,8.617641903660001,0.5584569983600001,1.7358490566,0.641509433962,2.32075471698,20.113207547200002,4.5,0.396226415094,8.10377358491,0.8301886792450001,7.028301886789999,34.3679245283,3.0,0,Games,non-agent,git-hub
381,1.80717488789,1.37194213525,7.13842971712,1.23601279738,1.22869955157,1.10986547085,3.36995515695,13.4865470852,2.6838565022400003,0.479820627803,5.64349775785,1.25784753363,5.08520179372,16.733183856500002,10.455156950700001,0,Games,non-agent,git-hub
382,1.32,1.5728833169999998,8.79393497049,0.961952931925,0.82,0.76,4.59,24.04,2.79,0.4,7.2,0.86,6.33,15.49,6.17,0,Games,non-agent,git-hub
383,1.04545454545,1.16859986419,5.14209213989,0.958237840591,0.75,0.863636363636,1.90909090909,10.4772727273,2.75,0.272727272727,5.27272727273,0.5,3.13636363636,15.4772727273,1.40909090909,0,Games,non-agent,git-hub
384,4.45627802691,2.26418564705,16.1898398249,1.42651818662,4.80044843049,0.235426008969,3.85313901345,46.072869955200005,3.4921524663699994,0.115470852018,8.41704035874,1.89237668161,7.7264573991,39.432735426,37.5896860987,0,Games,non-agent,git-hub
385,1.26875,1.58961670499,10.1379696591,0.979924975409,1.2,0.38125,4.7125,20.54375,2.35,0.2875,6.13125,0.64375,5.79375,14.13125,7.925,0,Games,non-agent,git-hub
386,1.53571428571,4.13469387755,20.627688383,1.02991234956,1.39285714286,0.785714285714,1.78571428571,49.571428571400006,4.21428571429,0.28571428571400004,4.10714285714,0.678571428571,2.5714285714300003,18.5,2.67857142857,0,Games,non-agent,git-hub
387,2.54122855562,1.3961808829,7.709976965580001,1.5360836083899998,2.21306032097,0.646375207526,4.77476480354,21.3591588268,4.27946873271,0.343663530714,8.5445489762,2.16712783619,5.800221361369998,25.5334809076,14.622025456600001,0,Games,non-agent,git-hub
388,1.60377358491,1.93154844908,12.02337079,0.999105457374,1.4339622641499998,1.5849056603799998,2.24528301887,20.6603773585,3.41509433962,0.433962264151,4.07547169811,3.22641509434,3.81132075472,13.8679245283,3.8679245283,0,Games,non-agent,git-hub
390,0.68,1.52733333333,12.4761904762,1.30355699856,0.68,0.2,4.64,25.36,1.56,0.08,6.92,0.76,6.68,13.4,3.04,0,Games,non-agent,git-hub
392,0.222222222222,3.48120618572,44.6451461417,1.55589258077,4.69135802469,0.0,3.74074074074,155.469135802,5.271604938269999,0.0,6.11111111111,5.17283950617,6.024691358019999,32.7530864198,18.9382716049,0,Games,non-agent,git-hub
394,3.0243902439,2.15061698037,10.7000248373,0.687578347816,3.0243902439,0.951219512195,2.26829268293,23.390243902399998,7.78048780488,0.5853658536590001,7.0243902439,0.926829268293,5.85365853659,44.0731707317,7.17073170732,0,Games,non-agent,git-hub
395,1.24074074074,1.64809129305,7.04838691144,0.6079651534839999,1.61111111111,0.518518518519,2.77777777778,14.9444444444,2.72222222222,0.277777777778,6.51851851852,0.12962962963,5.44444444444,19.888888888900002,4.64814814815,0,Games,non-agent,git-hub
396,0.933333333333,2.46670940171,15.117702451900001,0.685963912631,0.955555555556,0.6,1.82222222222,34.7111111111,6.17777777778,0.0444444444444,5.2,0.35555555555600005,3.86666666667,24.3111111111,2.62222222222,0,Games,non-agent,git-hub
397,1.14285714286,1.63672520235,10.3817874819,1.20721953783,1.55102040816,0.8095238095239999,2.60544217687,24.9591836735,4.03401360544,0.224489795918,5.21088435374,1.14965986395,4.62585034014,20.387755102,5.170068027209999,0,Games,non-agent,git-hub
398,1.2,1.37342585065,7.532405858860002,1.4424246445700002,1.42608695652,0.391304347826,3.66086956522,16.973913043499998,2.34782608696,0.130434782609,4.852173913040001,1.32173913043,4.1652173913,13.2782608696,7.27826086957,0,Games,non-agent,git-hub
