analizo_loc,analizo_rfc,analizo_npm,analizo_acc,analizo_dit,analizo_npa,analizo_anpm,analizo_cbo,analizo_mmloc,analizo_accm,analizo_noc,analizo__filename,analizo_noa,analizo__module,folder,analizo_lcom4,type,analizo_nom,analizo_amloc,analizo_sc
0,0,0,0,0,0,0,0,0,0,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Laser/urg_laser.h', 'NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Laser/urg_laser.cc']",0,NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Laser/urg_laser,Magneton2Year,0,Magneton,0,0,0
23,1,1,0,0,0,0,0,23,5,0,['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/PTZ/magnetonPTZ.cpp'],0,NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/PTZ/magnetonPTZ,Magneton2Year,1,Magneton,1,23,0
77,7,2,0,0,12,0.5,1,50,2,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Position/ShrimpPosition.cpp', 'NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Position/ShrimpPosition.h']",12,MoveToPlace/robot/devicesLib/domain_shrimp/Position/ShrimpPosition,Magneton2Year,2,Magneton,2,38.5,2
86,7,2,0,0,6,0.5,1,52,2,0,"['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Position/ShrimpPositionV2.cpp', 'NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Position/ShrimpPositionV2.h']",6,NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Position/ShrimpPositionV2,Magneton2Year,2,Magneton,2,43,2
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/robot/devicesLib/domain_shrimp/Ptz.cpp'],0,MoveToPlace/robot/devicesLib/domain_shrimp/Ptz,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/tasks/domain_player/Defines.h'],0,NewCogniTAO/MoveToPlace/tasks/domain_player/Defines,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/tasks/domain_player/TskExecuteSBCGraph.cpp'],0,MoveToPlace/tasks/domain_player/TskExecuteSBCGraph,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/tasks/domain_player/TskMovePtzToStart.cpp'],0,MoveToPlace/tasks/domain_player/TskMovePtzToStart,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,['NewCogniTAO/MoveToPlace/tasks/domain_player/TskTrackLittleLess.cpp'],0,MoveToPlace/tasks/domain_player/TskTrackLittleLess,Magneton2Year,0,Magneton,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"['NewCogniTAO/MoveToPlace/tasks/domain_player/TskUpdateSBC.cpp', 'NewCogniTAO/MoveToPlace/tasks/domain_player/TskUpdateSBC.h']",0,MoveToPlace/tasks/domain_player/TskUpdateSBC,Magneton2Year,0,Magneton,0,0,0
47,7,3,0,0,2,0.333333333333333,1,23,1,0,"['NewCogniTAO/MoveToPlace/utils/Utils.cpp', 'NewCogniTAO/MoveToPlace/utils/Utils.h']",2,NewCogniTAO/MoveToPlace/utils/Utils,Magneton2Year,3,Magneton,3,15.6666666666667,3
1,1,1,0,0,0,1,0,1,1,0,"['NewCogniTAO/MoveToPlace/variables/SrlRobotData.h', 'NewCogniTAO/MoveToPlace/variables/SrlRobotData.cpp']",0,MoveToPlace/variables/SrlRobotData,Magneton2Year,1,Magneton,1,1,0
