,player_fast_block_instructions_info_max,player_fast_block_instructions_info_min,player_fast_block_instructions_info_std,player_fast_block_instructions_info_sum,player_fast_blocks_sizes_info_max,player_fast_blocks_sizes_info_min,player_fast_blocks_sizes_info_std,player_fast_blocks_sizes_info_sum,player_fast_complex_mccabe,player_fast_number_of_CFG_nodes_that_return_a_value,player_fast_simple_mccabe,player_fast_system_calls_count,player_function_cc_radare2_max,player_function_cc_radare2_mean,player_function_cc_radare2_std,player_function_cc_radare2_sum,binary_player_number_lines,results_team,results_Unnamed: 0,results_loss,results_S,results_R,results_games,results_tie,results_win,results_win_diff,results_win_rate,results_goals_diff,results_loss_rate,results_rank
212,109.0,0.0,7.44003524269,264699.0,400.0,0.0,27.923728359499997,856928.0,63666.0,1898.0,35184.0,0.0,35.0,9.5,14.7224318643,38.0,196112.0,fcportugal2002,1277,0.0,10,0,5,0.0,5.0,1.0,1.0,2.0,0.0,0.0
213,97.0,0.0,4.62765329498,195035.0,399.0,0.0,17.9789767115,619469.0,75584.0,2565.0,36204.0,0.0,523.0,8.18660287081,26.551540786300002,17110.0,168503.0,yowai2002,877,3.0,23,8,10,2.0,5.0,0.2,0.5,1.5,0.3,0.0
214,150.0,0.0,11.3112734295,28806.0,400.0,0.0,35.7398744291,88249.0,7489.0,583.0,3487.0,0.0,90.0,2.51490514905,5.42656519493,928.0,26750.0,robosina,789,6.0,15,16,14,1.0,7.0,0.07142857142857142,0.5,-0.07142857142857142,0.42857142857142855,0.0
215,101.0,0.0,7.283215376830001,308576.0,400.0,0.0,28.3709914383,1029096.0,81585.0,2225.0,41169.0,0.0,6.0,3.5,2.5,7.0,262444.0,fcportugal2005,375,6.0,8,20,10,2.0,2.0,-0.4,0.2,-1.2,0.6,0.0
216,124.0,0.0,5.69726651796,486954.0,400.0,0.0,22.175177819499996,1730067.0,168004.0,4045.0,97074.0,0.0,157.0,6.63310258024,12.6159592758,21080.0,413143.0,tokyotech2005,1055,3.0,30,8,14,1.0,10.0,0.5,0.7142857142857143,1.5714285714285714,0.21428571428571427,1.0
217,,,,,,,,,,,,,167.0,4.53703703704,9.74894546586,7595.0,171969.0,trilearn,576,5.0,26,29,11,3.0,3.0,-0.18181818181818185,0.2727272727272727,-0.2727272727272727,0.4545454545454545,0.0
218,124.0,0.0,7.717038370689999,201634.0,400.0,0.0,31.2653813696,755835.0,61898.0,1503.0,30098.0,0.0,311.0,8.73418972332,20.1068660975,8839.0,181713.0,yowai2005,144,10.0,1,31,11,1.0,0.0,-0.9090909090909092,0.0,-2.727272727272727,0.9090909090909092,0.0
219,164.0,0.0,5.29210314711,296672.0,400.0,0.0,20.6795393001,985781.0,102489.0,3258.0,56361.0,0.0,436.0,5.371244635190001,15.3471820594,10012.0,276594.0,zjubase,740,4.0,9,7,10,2.0,4.0,0.0,0.4,0.2,0.4,0.0
220,89.0,0.0,4.99384434484,415065.0,399.0,0.0,19.6966733466,1554401.0,177892.0,3056.0,99142.0,0.0,446.0,8.87163756489,19.1255148005,18799.0,390361.0,brainstormers05,1145,1.0,30,7,14,3.0,10.0,0.6428571428571429,0.7142857142857143,1.6428571428571428,0.07142857142857142,3.0
223,89.0,0.0,5.12158574277,461354.0,399.0,0.0,20.0527818033,1726819.0,191057.0,3759.0,107907.0,0.0,84.0,9.04,18.5482721567,226.0,433548.0,brainstormers06,1001,4.0,21,5,16,2.0,10.0,0.375,0.625,1.0,0.25,2.0
224,139.0,0.0,6.69291814926,302704.0,400.0,0.0,24.1590591624,1046644.0,262342.0,2899.0,232622.0,0.0,139.0,5.6687797147399985,11.752090661199999,10731.0,288467.0,robosina,462,6.0,12,14,10,1.0,3.0,-0.3,0.3,-0.2,0.6,0.0
225,,,,,,,,,,,,,359.0,13.821505376300001,44.2299267379,12854.0,159541.0,yowai2006,271,8.0,3,25,10,0.0,2.0,-0.6,0.2,-2.2,0.8,0.0
226,,,,,,,,,,,,,175.0,4.31529411765,10.4652272683,5502.0,151670.0,oxsy,792,4.0,19,16,13,4.0,5.0,0.07692307692307693,0.38461538461538464,0.2307692307692308,0.3076923076923077,0.0
227,96.0,0.0,5.0226985264,73474.0,400.0,0.0,20.1366700299,256801.0,25705.0,1474.0,14781.0,0.0,54.0,2.99556344277,5.116823151469999,3376.0,246275.0,seu,411,3.0,2,13,6,2.0,1.0,-0.3333333333333333,0.16666666666666666,-1.8333333333333333,0.5,0.0
228,134.0,0.0,6.10162938517,376736.0,400.0,0.0,23.3578381446,1346612.0,159411.0,2374.0,74149.0,0.0,571.0,22.0006510417,85.2126896274,33793.0,330057.0,tokyotech2006,1043,2.0,31,4,13,3.0,8.0,0.4615384615384616,0.6153846153846154,2.0769230769230766,0.15384615384615385,0.0
230,134.0,0.0,6.10162938517,376736.0,400.0,0.0,23.3578381446,1346612.0,159411.0,2374.0,74149.0,0.0,571.0,22.0006510417,85.2126896274,33793.0,330057.0,tokyotech2006,1043,2.0,31,4,13,3.0,8.0,0.4615384615384616,0.6153846153846154,2.0769230769230766,0.15384615384615385,0.0
232,81.0,0.0,4.02336752893,108996.0,400.0,0.0,22.2391815942,495412.0,57844.0,1239.0,25094.0,0.0,271.0,8.9596069869,19.3135330933,8207.0,108945.0,expertinos,924,5.0,32,27,16,2.0,9.0,0.25,0.5625,0.3125,0.3125,0.0
233,76.0,0.0,3.82075301319,106129.0,400.0,0.0,21.1810441956,478255.0,57137.0,1352.0,24823.0,0.0,217.0,8.34390992835,17.0563052832,8152.0,105890.0,sirsoccer,622,9.0,30,39,19,3.0,7.0,-0.10526315789473684,0.3684210526315789,-0.4736842105263158,0.4736842105263158,0.0
236,81.0,0.0,4.0389412059500005,113191.0,400.0,0.0,22.2680618889,514447.0,61071.0,1263.0,26255.0,0.0,271.0,9.22395833333,20.0503753331,8855.0,113101.0,itandroids,997,5.0,39,20,19,2.0,12.0,0.3684210526315789,0.631578947368421,1.0,0.2631578947368421,0.0
237,81.0,0.0,4.06870530612,217596.0,398.0,0.0,23.1122271521,1026776.0,111111.0,2112.0,48329.0,0.0,271.0,11.3291721419,20.5731297899,17243.0,218632.0,nexus2d,1188,1.0,55,6,16,2.0,13.0,0.75,0.8125,3.0625,0.0625,0.0
240,81.0,0.0,4.03638658441,164306.0,400.0,0.0,23.4705642865,779915.0,86625.0,1553.0,37483.0,0.0,271.0,10.9057908384,22.4574259884,12618.0,168373.0,robotbulls2d,650,8.0,35,43,17,2.0,7.0,-0.05882352941176471,0.4117647058823529,-0.4705882352941176,0.4705882352941176,0.0
241,98.0,0.0,4.57779984353,90690.0,400.0,0.0,17.8723006654,284683.0,35234.0,1772.0,21840.0,0.0,479.0,6.466666666669999,42.2402473866,7469.0,87460.0,nitrog,940,3.0,26,18,14,4.0,7.0,0.2857142857142857,0.5,0.5714285714285714,0.21428571428571427,0.0
242,,,,,,,,,,,,,389.0,4.62425784563,25.8925905977,5452.0,66967.0,hana,811,3.0,15,21,11,4.0,4.0,0.09090909090909093,0.3636363636363637,-0.5454545454545454,0.2727272727272727,0.0
243,98.0,0.0,4.62246059367,85243.0,400.0,0.0,18.1652879758,266191.0,33013.0,1743.0,20371.0,0.0,492.0,6.973568281939999,46.0047039067,7915.0,63175.0,nitinpossible,893,3.0,21,14,10,2.0,5.0,0.2,0.5,0.7,0.3,0.0
244,,,,,,,,,,,,,417.0,5.586919104990001,32.563954301799996,6492.0,93352.0,anct2004,712,4.0,17,15,10,2.0,4.0,0.0,0.4,0.2,0.4,0.0
245,124.0,0.0,5.789480243330001,394594.0,400.0,0.0,23.6689387649,1351006.0,150825.0,2044.0,72921.0,0.0,480.0,32.0362853629,97.7244880219,52091.0,326364.0,tokyotech2004,1166,1.0,19,3,10,1.0,8.0,0.7,0.8,1.6,0.1,0.0
246,,,,,,,,,,,,,194.0,3.03141361257,7.716105248160001,3474.0,93890.0,rhona2003,332,6.0,2,18,10,3.0,1.0,-0.5,0.1,-1.6,0.6,0.0
247,,,,,,,,,,,,,58.0,2.96024200519,5.5793305370200015,3425.0,87085.0,rhona2003,332,6.0,2,18,10,3.0,1.0,-0.5,0.1,-1.6,0.6,0.0
248,,,,,,,,,,,,,172.0,8.2,15.9464607026,7339.0,140541.0,yowai2004,1187,0.0,41,2,12,3.0,9.0,0.75,0.75,3.25,0.0,0.0
249,90.0,0.0,5.282155872980001,96364.0,399.0,0.0,21.4292954895,309158.0,29880.0,1505.0,19010.0,0.0,74.0,3.30814940577,6.25241153922,3897.0,87478.0,raic2004,1021,3.0,18,18,12,1.0,8.0,0.4166666666666667,0.6666666666666666,0.0,0.25,0.0
250,120.0,0.0,3.79812757995,449917.0,400.0,0.0,13.828385611300002,1444280.0,200543.0,3317.0,101055.0,0.0,70.0,35.5,34.5,71.0,374086.0,zeng01,54,1.0,0,1,1,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0
253,,,,,,,,,,,,,112.0,7.47592592593,12.803984264,8074.0,179167.0,simcanuck,66,6.0,0,7,6,0.0,0.0,-1.0,0.0,-1.1666666666666667,1.0,0.0
254,120.0,0.0,5.08226370583,163923.0,400.0,0.0,19.207312880099998,526573.0,59392.0,2811.0,28562.0,0.0,59.0,2.7356321839099995,5.0001074164,5474.0,148473.0,wrighteagle2001,1129,1.0,11,2,5,0.0,4.0,0.6,0.8,1.8,0.2,0.0
