,teamname,loss,S,R,games,tie,win,competition,year,win_diff,win_rate,goals_diff,loss_rate,team,rank
95,robolog2d,3.0,0,8,3,0.0,0.0,WorldCup,2004,-1.0,0.0,-2.6666666666666665,1.0,robolog2d,
96,bahia2d,4.0,0,8,4,0.0,0.0,GermanOpens,2008,-1.0,0.0,-2.0,1.0,bahia2d,
97,nexus,2.0,0,9,2,0.0,0.0,AI-Games,2005,-1.0,0.0,-4.5,1.0,nexus,
98,uva,12.0,0,33,12,0.0,0.0,JapanOpens,2009,-1.0,0.0,-2.75,1.0,uva,
99,wit,6.0,0,22,6,0.0,0.0,WorldCup,2017,-1.0,0.0,-3.6666666666666665,1.0,wit,
100,hero,3.0,1,12,3,0.0,0.0,IranOpens,2008,-1.0,0.0,-3.6666666666666665,1.0,hero,
101,nemesis,4.0,1,9,4,0.0,0.0,AUTOpens,2005,-1.0,0.0,-2.0,1.0,nemesis,
102,ants2010,1.0,0,9,1,0.0,0.0,JapanOpens,2011,-1.0,0.0,-9.0,1.0,ants2010,
103,gemini,3.0,0,7,3,0.0,0.0,WorldCup,2004,-1.0,0.0,-2.3333333333333335,1.0,gemini,
104,itandroids,4.0,0,19,4,0.0,0.0,BrazilianOpens,2006,-1.0,0.0,-4.75,1.0,itandroids,
105,everest,3.0,0,20,3,0.0,0.0,WorldCup,2004,-1.0,0.0,-6.666666666666667,1.0,everest,
106,lefteagle,7.0,2,29,7,0.0,0.0,WorldCup,2016,-1.0,0.0,-3.857142857142857,1.0,lefteagle,
107,nexusbeta,1.0,1,5,1,0.0,0.0,IranOpens,2008,-1.0,0.0,-4.0,1.0,nexusbeta,
108,-one903,1.0,0,1,1,0.0,0.0,JapanSpringCompetitions,2011,-1.0,0.0,-1.0,1.0,one903,
109,litus,4.0,0,12,4,0.0,0.0,IranOpens,2010,-1.0,0.0,-3.0,1.0,litus,
110,brainstormers01,1.0,0,1,1,0.0,0.0,JapanAutumnCamp,2003,-1.0,0.0,-1.0,1.0,brainstormers01,
111,jmu,3.0,0,14,3,0.0,0.0,Exercise,2008,-1.0,0.0,-4.666666666666667,1.0,jmu,
112,hfutgocom1,3.0,0,8,3,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-2.6666666666666665,1.0,hfutgocom1,
113,ututdsasa,2.0,0,3,2,0.0,0.0,WorldCup,2003,-1.0,0.0,-1.5,1.0,ututdsasa,
114,ujdb,1.0,0,4,1,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-4.0,1.0,ujdb,
115,mujina,4.0,0,8,4,0.0,0.0,JapanOpens,2004,-1.0,0.0,-2.0,1.0,mujina,
116,_calm2d,6.0,1,13,6,0.0,0.0,ChinaOpens,2006,-1.0,0.0,-2.0,1.0,calm2d,
117,gemini,1.0,0,1,1,0.0,0.0,SpringCompetitions,2002,-1.0,0.0,-1.0,1.0,gemini,
118,shustriver2003,2.0,0,5,2,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-2.5,1.0,shustriver2003,
119,_eaters,1.0,0,1,1,0.0,0.0,FIIT,2004,-1.0,0.0,-1.0,1.0,eaters,
120,seu,4.0,0,13,4,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-3.25,1.0,seu,
121,ypt,5.0,0,12,5,0.0,0.0,JapanOpens,2004,-1.0,0.0,-2.4,1.0,ypt,
122,harmony,1.0,0,4,1,0.0,0.0,SpringCompetitions,2002,-1.0,0.0,-4.0,1.0,harmony,
123,scutrobot,3.0,0,11,3,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-3.6666666666666665,1.0,scutrobot,
124,afu2006,1.0,0,2,1,0.0,0.0,ChinaOpens,2006,-1.0,0.0,-2.0,1.0,afu2006,
125,_gpr,4.0,5,20,4,0.0,0.0,WorldCup,2015,-1.0,0.0,-3.75,1.0,gpr,
126,yowai2003,1.0,0,1,1,0.0,0.0,SimKansai,2006,-1.0,0.0,-1.0,1.0,yowai2003,
127,xdstormer,5.0,0,11,5,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-2.2,1.0,xdstormer,
128,yamaarashi,3.0,0,7,3,0.0,0.0,WorldCup,2003,-1.0,0.0,-2.3333333333333335,1.0,yamaarashi,
129,_explorer,4.0,0,7,4,0.0,0.0,ChinaOpens,2006,-1.0,0.0,-1.75,1.0,explorer,
130,ikuei,2.0,0,2,2,0.0,0.0,JapanOpens,2004,-1.0,0.0,-1.0,1.0,ikuei,
131,salesio,7.0,0,21,7,0.0,0.0,JapanOpens,2006,-1.0,0.0,-3.0,1.0,salesio,
132,okarobo,4.0,4,16,4,0.0,0.0,SimKansai,2006,-1.0,0.0,-3.0,1.0,okarobo,
133,-rp,2.0,8,11,2,0.0,0.0,SpringCompetitions,2005,-1.0,0.0,-1.5,1.0,rp,
134,_alborz2004,3.0,0,15,3,0.0,0.0,WorldCup,2004,-1.0,0.0,-5.0,1.0,alborz2004,
135,roboys,3.0,0,15,3,0.0,0.0,ChinaOpens,2003,-1.0,0.0,-5.0,1.0,roboys,
136,brasil2d,9.0,0,22,9,0.0,0.0,WorldCup,2007,-1.0,0.0,-2.4444444444444446,1.0,brasil2d,
137,delta2d,29.0,0,89,30,1.0,0.0,WorldCup,2009,-0.9666666666666667,0.0,-2.966666666666667,0.9666666666666667,delta2d,
138,bahia2d,41.0,4,122,43,2.0,0.0,WorldCup,2010,-0.9534883720930233,0.0,-2.744186046511628,0.9534883720930233,bahia2d,
139,enigma,17.0,5,70,18,1.0,0.0,WorldCup,2014,-0.9444444444444444,0.0,-3.611111111111111,0.9444444444444444,enigma,
140,raic08autumn,14.0,2,38,15,1.0,0.0,JapanAutumnCamp,2008,-0.9333333333333333,0.0,-2.4,0.9333333333333333,raic08autumn,
141,parmida,27.0,3,79,29,2.0,0.0,WorldCup,2009,-0.9310344827586207,0.0,-2.6206896551724137,0.9310344827586207,parmida,
142,salesio,11.0,0,27,12,1.0,0.0,JapanOpens,2007,-0.9166666666666666,0.0,-2.25,0.9166666666666666,salesio,
143,_sky,10.0,3,27,11,1.0,0.0,ChinaOpens,2009,-0.9090909090909091,0.0,-2.1818181818181817,0.9090909090909091,sky,
144,yowai2005,10.0,1,31,11,1.0,0.0,WorldCup,2005,-0.9090909090909091,0.0,-2.727272727272727,0.9090909090909091,yowai2005,
145,bahia2d,9.0,4,28,10,1.0,0.0,WorldCup,2009,-0.9,0.0,-2.4,0.9,bahia2d,
146,paydar,9.0,0,26,10,1.0,0.0,IranOpens,2016,-0.9,0.0,-2.6,0.9,paydar,
147,-one2013,8.0,11,42,9,1.0,0.0,JapanOpens,2013,-0.8888888888888888,0.0,-3.4444444444444446,0.8888888888888888,one2013,
148,_gpr,8.0,1,22,9,1.0,0.0,Robotica,2014,-0.8888888888888888,0.0,-2.3333333333333335,0.8888888888888888,gpr,
149,mecateam,17.0,8,27,18,0.0,1.0,WorldCup,2008,-0.8888888888888888,0.05555555555555555,-1.0555555555555556,0.9444444444444444,mecateam,
150,mecateam,31.0,11,104,34,2.0,1.0,WorldCup,2010,-0.8823529411764706,0.029411764705882353,-2.735294117647059,0.9117647058823529,mecateam,
151,-ai2004,7.0,2,12,8,1.0,0.0,WorldCup,2004,-0.875,0.0,-1.25,0.875,ai2004,
152,-one,7.0,1,28,8,1.0,0.0,WorldCup,2013,-0.875,0.0,-3.375,0.875,one,
153,goldenhat,6.0,1,19,7,1.0,0.0,IranOpens,2017,-0.8571428571428571,0.0,-2.5714285714285716,0.8571428571428571,goldenhat,
154,elysion,13.0,8,54,14,0.0,1.0,JapanAutumnCamp,2007,-0.8571428571428571,0.07142857142857142,-3.2857142857142856,0.9285714285714286,elysion,
155,persiangulf2d,30.0,4,106,33,1.0,2.0,WorldCup,2010,-0.8484848484848485,0.06060606060606061,-3.090909090909091,0.9090909090909091,persiangulf2d,
156,hfutengine2011,12.0,14,54,13,0.0,1.0,ChinaOpens,2011,-0.8461538461538461,0.07692307692307693,-3.076923076923077,0.9230769230769231,hfutengine2011,
157,nobisu,11.0,0,31,13,2.0,0.0,JapanAutumnCamp,2003,-0.8461538461538461,0.0,-2.3846153846153846,0.8461538461538461,nobisu,
158,chagamma,5.0,0,11,6,1.0,0.0,WorldCup,2002,-0.8333333333333334,0.0,-1.8333333333333333,0.8333333333333334,chagamma,
159,pixel,11.0,4,49,12,0.0,1.0,IranOpens,2017,-0.8333333333333334,0.08333333333333333,-3.75,0.9166666666666666,pixel,
160,hana,5.0,0,7,6,1.0,0.0,WorldCup,2002,-0.8333333333333334,0.0,-1.1666666666666667,0.8333333333333334,hana,
161,-storms,5.0,0,11,6,1.0,0.0,WorldCup,2017,-0.8333333333333334,0.0,-1.8333333333333333,0.8333333333333334,storms,
162,ath,9.0,4,25,11,2.0,0.0,WorldCup,2008,-0.8181818181818182,0.0,-1.9090909090909092,0.8181818181818182,ath,
163,united,4.0,0,8,5,1.0,0.0,IranOpens,2010,-0.8,0.0,-1.6,0.8,united,
164,isocrob2003,4.0,1,15,5,1.0,0.0,WorldCup,2003,-0.8,0.0,-2.8,0.8,isocrob2003,
165,talash,4.0,0,16,5,1.0,0.0,IranOpens,2017,-0.8,0.0,-3.2,0.8,talash,
166,_drweb,4.0,0,9,5,1.0,0.0,WorldCup,2003,-0.8,0.0,-1.8,0.8,drweb,
167,robosalam,4.0,0,16,5,1.0,0.0,IranOpens,2010,-0.8,0.0,-3.2,0.8,robosalam,
168,crocaroos2002,4.0,0,14,5,1.0,0.0,WorldCup,2002,-0.8,0.0,-2.8,0.8,crocaroos2002,
169,zombie,12.0,3,28,15,3.0,0.0,LARC,2014,-0.8,0.0,-1.6666666666666667,0.8,zombie,
170,_hana,16.0,0,38,20,4.0,0.0,JapanAutumnCamp,2006,-0.8,0.0,-1.9,0.8,hana,
171,persiangulf2d,25.0,24,76,29,2.0,2.0,WorldCup,2009,-0.7931034482758621,0.06896551724137931,-1.793103448275862,0.8620689655172413,persiangulf2d,
172,reapers,8.0,5,22,9,0.0,1.0,IranOpens,2015,-0.7777777777777778,0.1111111111111111,-1.8888888888888888,0.8888888888888888,reapers,
173,artmis,8.0,9,37,9,0.0,1.0,IranOpens,2015,-0.7777777777777778,0.1111111111111111,-3.111111111111111,0.8888888888888888,artmis,
174,nopporoes09,7.0,4,27,9,2.0,0.0,JapanOpens,2009,-0.7777777777777778,0.0,-2.5555555555555554,0.7777777777777778,nopporoes09,
175,-storms,7.0,19,46,9,2.0,0.0,JapanOpens,2012,-0.7777777777777778,0.0,-3.0,0.7777777777777778,storms,
176,grcg,3.0,0,14,4,1.0,0.0,IranOpens,2010,-0.75,0.0,-3.5,0.75,grcg,
177,artsapience,10.0,2,25,12,1.0,1.0,WorldCup,2011,-0.75,0.08333333333333333,-1.9166666666666667,0.8333333333333334,artsapience,
178,_coach,3.0,1,25,4,1.0,0.0,WorldCup,2003,-0.75,0.0,-6.0,0.75,coach,
179,iranians,3.0,0,6,4,1.0,0.0,WorldCup,2002,-0.75,0.0,-1.5,0.75,iranians,
180,harmony,3.0,1,8,4,1.0,0.0,WorldCup,2001,-0.75,0.0,-1.75,0.75,harmony,
181,robotoos,3.0,1,21,4,1.0,0.0,ChinaOpens,2007,-0.75,0.0,-5.0,0.75,robotoos,
182,_isocrobcoach,3.0,0,13,4,1.0,0.0,WorldCup,2003,-0.75,0.0,-3.25,0.75,isocrobcoach,
183,-chonaso,3.0,0,5,4,1.0,0.0,WorldCup,2002,-0.75,0.0,-1.25,0.75,chonaso,
184,iustb2d,7.0,6,24,8,0.0,1.0,IranOpens,2006,-0.75,0.125,-2.25,0.875,iustb2d,
185,raic2004,7.0,10,24,8,0.0,1.0,WorldCup,2004,-0.75,0.125,-1.75,0.875,raic2004,
186,parsian,7.0,2,16,8,0.0,1.0,IranOpens,2006,-0.75,0.125,-1.75,0.875,parsian,
187,kickofftug,14.0,6,40,16,0.0,2.0,GermanOpens,2007,-0.75,0.125,-2.125,0.875,kickofftug,
188,blessdut,7.0,1,19,8,0.0,1.0,ChinaOpens,2003,-0.75,0.125,-2.25,0.875,blessdut,
189,gear,25.0,19,95,30,2.0,3.0,WorldCup,2009,-0.7333333333333333,0.1,-2.533333333333333,0.8333333333333334,gear,
190,paydar,12.0,8,54,15,2.0,1.0,IranOpens,2017,-0.7333333333333333,0.06666666666666667,-3.066666666666667,0.8,paydar,
191,-team,12.0,5,38,15,2.0,1.0,WorldCup,2007,-0.7333333333333333,0.06666666666666667,-2.2,0.8,team,
192,warthogrobotics,18.0,28,78,22,2.0,2.0,WorldCup,2013,-0.7272727272727273,0.09090909090909091,-2.272727272727273,0.8181818181818182,warthogrobotics,
193,-bost,9.0,8,33,11,1.0,1.0,JapanOpens,2007,-0.7272727272727273,0.09090909090909091,-2.272727272727273,0.8181818181818182,bost,
194,abit,9.0,12,54,11,1.0,1.0,ChinaOpens,2011,-0.7272727272727273,0.09090909090909091,-3.8181818181818183,0.8181818181818182,abit,
195,yowai,25.0,25,97,29,0.0,4.0,WorldCup,2009,-0.7241379310344828,0.13793103448275862,-2.4827586206896552,0.8620689655172413,yowai,
196,-one,6.0,3,20,7,0.0,1.0,PRIMA,2009,-0.7142857142857143,0.14285714285714285,-2.4285714285714284,0.8571428571428571,one,
197,_hana,6.0,2,16,7,0.0,1.0,SimKansai,2006,-0.7142857142857143,0.14285714285714285,-2.0,0.8571428571428571,hana,
198,ikuei,6.0,7,22,7,0.0,1.0,JapanOpens,2003,-0.7142857142857143,0.14285714285714285,-2.142857142857143,0.8571428571428571,ikuei,
199,_dirtydozen,5.0,0,34,7,2.0,0.0,WorldCup,2001,-0.7142857142857143,0.0,-4.857142857142857,0.7142857142857143,dirtydozen,
200,paradise,6.0,8,11,7,0.0,1.0,ChinaOpens,2006,-0.7142857142857143,0.14285714285714285,-0.42857142857142855,0.8571428571428571,paradise,
201,nobisu,6.0,8,18,7,0.0,1.0,JapanAutumnCamp,2002,-0.7142857142857143,0.14285714285714285,-1.4285714285714286,0.8571428571428571,nobisu,
202,gpc,28.0,14,121,34,2.0,4.0,WorldCup,2010,-0.7058823529411765,0.11764705882352941,-3.1470588235294117,0.8235294117647058,gpc,
203,-humboldt,8.0,1,14,10,1.0,1.0,WorldCup,2006,-0.7,0.1,-1.3,0.8,humboldt,
204,mersad,7.0,0,22,10,3.0,0.0,WorldCup,2006,-0.7,0.0,-2.2,0.7,mersad,
205,genius2015,8.0,2,17,10,1.0,1.0,IranOpens,2015,-0.7,0.1,-1.5,0.8,genius2015,
206,hfutengine2d,8.0,6,31,10,1.0,1.0,WorldCup,2009,-0.7,0.1,-2.5,0.8,hfutengine2d,
207,_wcoach,10.0,1,32,13,2.0,1.0,SpringCompetitions,2005,-0.6923076923076923,0.07692307692307693,-2.3846153846153846,0.7692307692307693,wcoach,
208,furgbol,13.0,5,34,16,1.0,2.0,WorldCup,2007,-0.6875,0.125,-1.8125,0.8125,furgbol,
209,newneu,5.0,4,17,6,0.0,1.0,ChinaOpens,2003,-0.6666666666666666,0.16666666666666666,-2.1666666666666665,0.8333333333333334,newneu,
210,obake,5.0,3,16,6,0.0,1.0,JapanOpens,2007,-0.6666666666666666,0.16666666666666666,-2.1666666666666665,0.8333333333333334,obake,
211,miracle2012,2.0,3,15,3,1.0,0.0,ChinaOpens,2012,-0.6666666666666666,0.0,-4.0,0.6666666666666666,miracle2012,
212,robosina,9.0,12,28,12,2.0,1.0,IranOpens,2010,-0.6666666666666666,0.08333333333333333,-1.3333333333333333,0.75,robosina,
213,sky,2.0,9,18,3,1.0,0.0,Exercise,2008,-0.6666666666666666,0.0,-3.0,0.6666666666666666,sky,
214,virtualwerder,4.0,0,6,6,2.0,0.0,WorldCup,2003,-0.6666666666666666,0.0,-1.0,0.6666666666666666,virtualwerder,
215,youronelaw,2.0,0,4,3,1.0,0.0,SpringCompetitions,2002,-0.6666666666666666,0.0,-1.3333333333333333,0.6666666666666666,youronelaw,
216,_nyy,16.0,0,64,24,8.0,0.0,JapanAutumnCamp,2006,-0.6666666666666666,0.0,-2.6666666666666665,0.6666666666666666,nyy,
217,expertinos,5.0,8,15,6,0.0,1.0,CBR,2013,-0.6666666666666666,0.16666666666666666,-1.1666666666666667,0.8333333333333334,expertinos,
