,analizo_acc_mean,analizo_acc_quantile_lower,analizo_acc_quantile_median,analizo_acc_quantile_upper,analizo_accm_mean,analizo_accm_quantile_lower,analizo_accm_quantile_median,analizo_accm_quantile_upper,analizo_amloc_mean,analizo_amloc_quantile_lower,analizo_amloc_quantile_median,analizo_amloc_quantile_upper,analizo_anpm_mean,analizo_anpm_quantile_lower,analizo_anpm_quantile_median,analizo_anpm_quantile_upper,analizo_cbo_mean,analizo_cbo_quantile_lower,analizo_cbo_quantile_median,analizo_cbo_quantile_upper,analizo_dit_mean,analizo_dit_quantile_lower,analizo_dit_quantile_median,analizo_dit_quantile_upper,analizo_lcom4_mean,analizo_lcom4_quantile_lower,analizo_lcom4_quantile_median,analizo_lcom4_quantile_upper,analizo_mmloc_mean,analizo_mmloc_quantile_lower,analizo_mmloc_quantile_median,analizo_mmloc_quantile_upper,analizo_noa_mean,analizo_noa_quantile_lower,analizo_noa_quantile_median,analizo_noa_quantile_upper,analizo_noc_mean,analizo_noc_quantile_lower,analizo_noc_quantile_median,analizo_noc_quantile_upper,analizo_nom_mean,analizo_nom_quantile_lower,analizo_nom_quantile_median,analizo_nom_quantile_upper,analizo_npa_mean,analizo_npa_quantile_lower,analizo_npa_quantile_median,analizo_npa_quantile_upper,analizo_npm_mean,analizo_npm_quantile_lower,analizo_npm_quantile_median,analizo_npm_quantile_upper,analizo_rfc_mean,analizo_rfc_quantile_lower,analizo_rfc_quantile_median,analizo_rfc_quantile_upper,analizo_sc_mean,analizo_sc_quantile_lower,analizo_sc_quantile_median,analizo_sc_quantile_upper,folder,category,agent_type,type
22,3.78329571106,0.0,0.0,2.0,2.2791266133900003,1.0,1.42857142857,3.0,18.5982525273,5.0,9.77777777778,23.1363636364,1.12909406356,0.539393939394,1.0,1.46428571429,3.8690744921,0.0,1.0,5.0,0.625282167043,0.0,1.0,1.0,3.4085778781,2.0,2.0,4.0,49.9841986456,5.0,24.0,68.0,3.92099322799,0.0,1.0,3.0,0.507900677201,0.0,0.0,0.0,8.48081264108,3.0,5.0,9.0,1.2212189616299998,0.0,0.0,0.0,7.049661399550001,2.0,4.0,6.0,40.4966139955,5.0,13.0,38.0,13.3702031603,0.0,3.0,14.0,/home/se-metrics/root/proccesed1/2008_JapanOpens_Fifty-Storms,Robocup-2D,agent,Robocup
23,3.96300102775,0.0,0.0,2.0,2.15801881802,1.0,1.16666666667,2.2,16.908146816800002,4.33333333333,7.0,17.8,1.0412581477299998,0.5,0.777777777778,1.30434782609,3.5344295991800005,0.0,1.0,4.0,0.945529290853,0.0,1.0,2.0,4.6197327852,2.0,3.0,5.0,49.2929085303,5.0,14.0,59.0,3.30832476876,0.0,1.0,2.0,0.562178828366,0.0,0.0,0.0,9.048304213769999,2.0,5.0,9.0,1.0174717369,0.0,0.0,0.0,7.687564234330001,2.0,4.0,7.0,37.2045220966,5.0,11.0,27.0,28.436793422399997,0.0,4.0,12.0,/home/se-metrics/root/proccesed1/2012_WorldCup_fcportugal2d_src,Robocup-2D,agent,Robocup
24,1.05769230769,0.0,0.0,1.0,3.03049954432,1.0,1.75,4.15151515152,32.8397058807,6.545454545449999,19.0,50.25,2.31476850579,0.977272727273,1.69696969697,3.125,0.826923076923,0.0,0.5,1.25,0.519230769231,0.0,1.0,1.0,3.92307692308,1.0,2.0,4.0,74.80769230770001,9.75,41.5,153.25,2.86538461538,0.0,1.0,4.25,0.326923076923,0.0,0.0,0.0,6.40384615385,1.0,2.5,10.25,0.7115384615379999,0.0,0.0,0.0,4.21153846154,1.0,2.0,3.0,15.538461538499998,3.0,5.5,16.25,3.34615384615,0.0,0.5,2.0,/home/se-metrics/root/proccesed1/2016_WorldCup_ITAndroids,Robocup-2D,agent,Robocup
25,3.80157480315,0.0,1.0,4.0,1.96402165317,1.0,1.40909090909,2.14285714286,9.6826280159,3.625,6.36363636364,12.0769230769,1.11722599053,0.550505050505,1.0,1.4,3.4629921259800005,0.0,2.0,5.0,1.24881889764,0.0,1.0,2.0,3.31496062992,1.0,2.0,3.0,34.0094488189,5.0,14.0,32.0,5.6094488189,1.0,3.0,6.0,0.455118110236,0.0,0.0,0.0,9.83937007874,2.0,5.0,11.0,1.22677165354,0.0,0.0,0.0,6.94330708661,1.0,3.0,8.0,42.7133858268,7.0,19.0,47.5,19.8724409449,0.0,3.0,9.0,/home/se-metrics/root/proccesed1/2007_WorldCup_kotug,Robocup-2D,agent,Robocup
26,3.46111111111,0.0,0.0,1.0,2.20039644007,1.0,1.25,2.5,18.2443743585,5.0,9.5,21.4111111111,1.26327515134,0.542424242424,1.0,1.8,3.45185185185,0.0,1.0,5.0,0.685185185185,0.0,1.0,1.0,3.78888888889,2.0,2.0,4.0,56.185185185200005,5.75,19.0,73.0,4.2037037037000005,0.0,1.0,3.0,0.487037037037,0.0,0.0,0.0,9.20925925926,2.0,5.0,10.0,1.49444444444,0.0,0.0,0.0,7.67777777778,2.0,4.0,7.0,44.6666666667,4.0,12.0,35.0,17.3425925926,0.0,3.0,12.0,/home/se-metrics/root/proccesed1/2011_JapanOpens_HillStone_bin,Robocup-2D,agent,Robocup
28,5.679245283019999,1.0,3.0,6.0,3.08701563907,1.5,2.09322033898,3.4,19.659272766300003,6.86666666667,11.5714285714,19.8125,1.3949566429700002,0.65625,1.0,1.625,5.81132075472,1.0,4.0,10.0,0.452830188679,0.0,0.0,1.0,3.98113207547,1.0,3.0,5.0,78.77358490569999,9.0,48.0,114.0,16.4905660377,1.0,4.0,10.0,0.320754716981,0.0,0.0,0.0,26.3018867925,4.0,14.0,27.0,11.6037735849,0.0,0.0,4.0,23.5094339623,3.0,8.0,27.0,160.981132075,23.0,76.0,177.0,28.471698113200002,2.0,12.0,51.0,/home/se-metrics/root/proccesed1/2002_WorldCup_BUGS-2002-src,Robocup-2D,agent,Robocup
29,3.98953974895,0.0,0.0,2.0,2.52125585549,1.0,1.46306306306,3.0,20.4498478776,5.0,10.306818181799999,24.4,1.17380934208,0.5911764705879999,1.0,1.5,4.07322175732,0.0,1.0,6.0,0.619246861925,0.0,1.0,1.0,3.39121338912,2.0,2.0,4.0,53.144351464399996,6.0,26.0,72.0,3.83891213389,0.0,1.0,3.0,0.506276150628,0.0,0.0,0.0,8.286610878660001,3.0,4.0,9.0,1.18828451883,0.0,0.0,0.0,6.8744769874500005,2.0,4.0,6.0,40.1569037657,5.0,14.0,39.0,14.085774058599998,0.0,3.5,14.75,/home/se-metrics/root/proccesed1/2008_JapanOpens_BKB_jin_AI,Robocup-2D,agent,Robocup
30,1.24299065421,0.0,0.0,1.0,3.70300327636,1.1964285714299998,2.75,5.0,37.1409627192,7.416666666669999,25.0,53.90625,1.6608397247,0.666666666667,1.125,2.0,1.0373831775700002,0.0,1.0,2.0,0.635514018692,0.0,1.0,1.0,4.32710280374,1.0,3.0,6.0,83.0280373832,19.0,51.0,135.5,2.24299065421,0.0,1.0,3.0,0.289719626168,0.0,0.0,0.0,6.45794392523,2.0,5.0,7.5,0.598130841121,0.0,0.0,0.0,3.66355140187,1.0,2.0,3.5,14.8598130841,3.5,8.0,15.0,5.186915887850001,0.0,1.0,6.5,/home/se-metrics/root/proccesed1/2012_WorldCup_robotto_soccer_simulation_2d,Robocup-2D,agent,Robocup
31,2.92733017378,0.0,0.0,2.0,2.20836338359,1.0,1.2,2.33333333333,18.181352756,3.5,6.666666666669999,18.8684210526,1.16925165421,0.5,1.0,1.5,2.62875197472,0.0,1.0,3.0,0.7409162717219999,0.0,1.0,1.0,4.55924170616,2.0,3.0,5.0,50.3191153239,5.0,17.0,64.0,2.77093206951,0.0,1.0,3.0,0.516587677725,0.0,0.0,0.0,9.112164297,3.0,5.0,11.0,0.8357030015800001,0.0,0.0,0.0,7.76935229068,2.0,4.0,9.0,33.807266982600005,5.0,13.0,30.0,14.461295418599999,0.0,3.0,14.0,/home/se-metrics/root/proccesed1/2014_LARC_fcp_gpr_2014,Robocup-2D,agent,Robocup
32,3.40975609756,0.0,1.0,3.0,2.42101917753,1.0,1.11111111111,2.0,13.4422100098,1.5,3.41666666667,12.2,1.06751028176,0.7272727272730001,0.923076923077,1.1818181818200002,3.32195121951,0.0,1.0,4.0,0.712195121951,0.0,1.0,1.0,3.66829268293,2.0,3.0,4.0,48.580487804899995,3.0,8.0,36.0,6.33658536585,1.0,2.0,3.0,0.546341463415,0.0,0.0,0.0,13.073170731700001,5.0,8.0,12.0,4.61463414634,0.0,0.0,2.0,12.7365853659,5.0,7.0,12.0,65.50243902439999,11.0,20.0,48.0,16.2682926829,0.0,3.0,8.0,/home/se-metrics/root/proccesed1/2001_WorldCup_DirtyDozenSource,Robocup-2D,agent,Robocup
